subset,family,parent,arm,anchor_proxy,anchor_mIoU,selected_round,selected_proxy,selected_mIoU,delta_mIoU,refined,gt_low,dual_band,n_proxy_admissible,n_gt_useful_of_admissible,n_rounds,regret,policy_start,policy_random_round,policy_round1,policy_max_proxy,policy_monotone,policy_oracle,recomputed_monotone,stored_matches_recompute
1-3,staggered,1,fable_fresh,0.5501,0.779,round3,0.5671,0.78,0.0010000000000000009,True,False,False,2,1,3,0.0,0.779,0.718,0.595,0.78,0.78,0.78,round3,True
1-5,staggered,1,fable_fresh,0.5551,0.549,round2,0.6216,0.886,0.33699999999999997,True,True,True,3,3,3,0.0010000000000000009,0.549,0.779,0.887,0.886,0.886,0.887,round2,True
1-1,staggered,1,fable_fresh,0.6067,0.787,round2,0.6449,0.786,-0.0010000000000000009,True,False,False,2,0,3,0.0010000000000000009,0.787,0.742,0.66,0.786,0.786,0.787,round2,True
1-4,staggered,1,fable_fresh,0.6463,0.556,round2,0.65,0.557,0.0010000000000000009,True,True,True,1,1,3,0.0,0.556,0.549,0.536,0.557,0.557,0.557,round2,True
1-2,staggered,1,fable_fresh,0.6478,0.821,round2,0.6531,0.835,0.014000000000000012,True,False,False,1,1,3,0.0,0.821,0.7706666666666666,0.642,0.835,0.835,0.835,round2,True
2-4,staggered,2,fable_fresh,0.6763,0.835,round3,0.6963,0.783,-0.051999999999999935,True,False,False,3,0,3,0.051999999999999935,0.835,0.816,0.835,0.783,0.783,0.835,round3,True
2-2,staggered,2,fable_fresh,0.6991,0.673,round2,0.753,0.846,0.17299999999999993,True,True,True,3,2,3,0.0,0.673,0.7856666666666667,0.846,0.846,0.846,0.846,round2,True
3-4,continuous,3,fable_fresh,0.5197,0.622,round2,0.5296,0.601,-0.02100000000000002,True,True,True,2,0,3,0.028000000000000025,0.622,0.6076666666666667,0.593,0.593,0.601,0.629,round2,True
3-3,continuous,3,fable_fresh,0.5216,0.808,round3,0.5905,0.812,0.0040000000000000036,True,False,False,3,3,3,0.0,0.808,0.8113333333333334,0.812,0.812,0.812,0.812,round3,True
3-7,continuous,3,fable_fresh,0.5397,0.845,round1,0.5439,0.846,0.0010000000000000009,True,False,False,2,2,3,0.0,0.845,0.8453333333333334,0.846,0.846,0.846,0.846,round1,True
3-8,continuous,3,fable_fresh,0.5613,0.723,anchor,0.5613,0.723,0.0,False,False,False,0,0,3,0.0,0.723,0.653,0.54,0.723,0.723,0.723,anchor,True
3-10,continuous,3,fable_fresh,0.5887,0.853,round1,0.6189,0.852,-0.0010000000000000009,True,False,False,1,0,3,0.0010000000000000009,0.853,0.852,0.852,0.852,0.852,0.853,round1,True
3-9,continuous,3,fable_fresh,0.6413,0.82,round2,0.6468,0.818,-0.0020000000000000018,True,False,False,1,0,3,0.0030000000000000027,0.82,0.8186666666666665,0.821,0.818,0.818,0.821,round2,True
3-6,continuous,3,fable_fresh,0.6814,0.836,round2,0.7442,0.82,-0.016000000000000014,True,False,False,2,0,3,0.016000000000000014,0.836,0.8253333333333334,0.836,0.82,0.82,0.836,round2,True
4-3,complex,4,fable_fresh,0.5202,0.516,round2,0.5408,0.516,0.0,True,True,True,2,0,3,0.0,0.516,0.45733333333333337,0.34,0.516,0.516,0.516,round2,True
4-2,complex,4,fable_fresh,0.5435,0.734,round1,0.5774,0.539,-0.19499999999999995,True,False,False,3,0,3,0.19499999999999995,0.734,0.5976666666666667,0.539,0.539,0.539,0.734,round1,True
4-1,complex,4,fable_fresh,0.5518,0.635,round3,0.5563,0.65,0.015000000000000013,True,True,True,1,1,3,0.0010000000000000009,0.635,0.6506666666666666,0.651,0.65,0.65,0.651,round3,True
4-5,complex,4,fable_fresh,0.6094,0.75,round1,0.6555,0.784,0.03400000000000003,True,False,False,3,3,3,0.0,0.75,0.7736666666666667,0.784,0.784,0.784,0.784,round1,True
5-5,complex,5,fable_fresh,0.6098,0.775,round3,0.6453,0.772,-0.0030000000000000027,True,False,False,1,0,3,0.0030000000000000027,0.775,0.774,0.775,0.772,0.772,0.775,round3,True
5-3,complex,5,fable_fresh,0.6807,0.762,round2,0.6863,0.761,-0.0010000000000000009,True,False,False,2,0,3,0.0010000000000000009,0.762,0.7613333333333334,0.762,0.761,0.761,0.762,round2,True
5-2,complex,5,fable_fresh,0.6829,0.793,round3,0.6985,0.793,0.0,True,False,False,3,0,3,0.0,0.793,0.793,0.793,0.793,0.793,0.793,round3,True
5-4,complex,5,fable_fresh,0.6923,0.76,round3,0.7087,0.76,0.0,True,False,False,2,0,3,0.0,0.76,0.7596666666666666,0.76,0.76,0.76,0.76,round3,True
